วันที่,วิชา,การบ้าน,วันกำหนดส่ง
15 พ.ค. 2566,วิทย์,ค้นหาเทคโนเลยีที่น่าสนใจ และ นำเสนอ ✅,18 พ.ค. 2566
16 05 23,English,Read page 5 in ACTION 3 book ✅,23 05 23
19 พ.ค. 2566,ภาษาไทย,อ่านบทร้อยกรอง เรื่อง : อิศรญาณภาษิต ✅,ไม่มีวันกำหนดส่ง
19 พ.ค. 2566,คณิตศาสตร์,ลองโจทย์ในหนังสือ หน้า 21 ข้อ 2 ใหญ่ ลงในใบงาน ✅,22 พ.ค. 2566
15 พ.ค. 2566,สุขศึกษา,หาค่า BMI ของตัวเอง ✅,22 พ.ค. 2566
22 05 23,English (LAS),Group activity: Drama (Good to see you again!) Write a story or script for your drama presentation. Choose a place where you meet with your old friends. ✅,29 05 23
22 พ.ค. 2566,สุขศึกษา,ทำแบบประเมิณความฉลาดทางอารมณ์ (EQ) ✅,29 พ.ค. 2566
22 พ.ค. 2566,คณิตศาสตร์,"ทำในใบงาน แบบฝึกหัด 1.3 , 6 ข้อ ✅",24 พ.ค. 2566
23 05 23,English,Read A day in the life of Shola Shoretire and answer the question in section 4 in ACTION book ✅,24 05 23
24 05 23,English,Do a activities in page 6 in ACTION book ❌,30 05 23
30 05 23,English,"Do activities in Notebook "" ตาราง 5 ช่อง "" Includes Sbj , Obj , Possesive (Obj / Pronouns) , Reflexive ✅",31 05 23
31 พ.ค. 2566,คณิต,แบบฝึกหัด 1.4 ข้อ 3-5 (ถึงข้อ 10 ก็ได้) ✅,2 มิ.ย. 2566
31 พ.ค. 2566,แนะแนว,ทำในใบงาน ❌,7 มิ.ย. 2566
31 05 23,English,"Find the knowledge about rule use : s , es , ing ✅",07 06 23 ⏰
2 มิ.ย. 2566,ภาษาไทย,ใบงาน หน้าที่ 1 ✅,8 มิ.ย. 2566
2 มิ.ย. 2566,คณิต,"ในหนังสือ เล่ม 1 หน้า 44 ข้อ 1,3,5,7,9,11 ทำลงในสมุด ✅",5 มิ.ย. 2566 ⏰
06 06 23,English,"Make a sentence same as an example but different word : Affirmative, Negative, Interrogative, Short Answer, Wh - Question in notebook ❌",07 06 23
06 06 23,English,"Find the knowledge about : Non - conclusive V. , Stative V., Non - continuous V. in notebook  ✅",07 06 23
7 มิ.ย. 2566,แนะแนว,คิดเฉลี่ยวิชาคณิตศาสตร์ 5 เทอม ❌,14 มิ.ย. 2566
07 06 23,English,Do activities in sheet ✅,13 06 23
8 มิ.ย. 2566,ภาษาไทย,ใบงานหน้า 1 และ 2 ❌,9 มิ.ย. 2566
8 มิ.ย. 2566,วิทยาศาสตร์,กิจกรรมที่ 2.4 ลงในสมุด ✅,12 มิ.ย. 2666
12 มิ.ย. 2566,สุขศึกษา,ทำใบงาน ✅,19 มิ.ย. 2566 ⏰
12 มิ.ย. 2566,คณิต,ทำในหนังสือ หน้า 57 ลงในสุมด ข้อ 1-8 ✅,14 มิ.ย. 2566
15 มิ.ย. 2565,คณิต,ทำในหนังสือ หน้า 57 ลงในสุมด ถึงข้อ 20 ✅,16 มิ.ย. 2566
15 06 23,English,Do activities in unit B number 5-7 in notebook ✅,20 06 23
15 มิ.ย. 2566,ภาษาไทย,ทำงานกลุ่มแล้วนำเสนอ ✅,22 มิ.ย. 2566
19 มิ.ย. 2566,วิทย์,นำเสนอโรงทางพันธุ์กรรม ❌,22 มิ.ย. 2566
20 06 23,English,Do homework : Make a sentence like in ACTION book page 7 section 10-11 ❌,21 06 23
20 06 23,English,"Do homework : In ACTION book in section 11 (notebook),12,13 ❌",21 06 23
21 มิ.ย. 2566,คณิต,ทำแบบฝึกหัดจากหนังสือลงในสมุด ❌,23 มิ.ย. 2566
21 มิ.ย. 2566,แนะแนว,หาข้อมูลแล้วนำเสนอเกี่ยวกับ สายวิทย์ ✅,28 มิ.ย. 2566
23 มิ.ย. 2566,นาฏศิลป์,ทำงานกลุ่ม คิด ท่ารำ ชุด การจัดแถว ตามเพลงที่เลือก ✅,30 มิ.ย. 2566 ⏰
27 06 23,English,Translate vocabulary in classroom  in to Thai language ✅,28 06 23
29 มิ.ย. 2566,คณิต,แบบฝึกหัด 4.1 ในชีท ✅,30 มิ.ย. 2566
29 มิ.ย. 2566,ประวัติ,ทำในชีท เรื่อง อารยธรรมโรมัน ❌,30 มิ.ย. 2566
3 ก.ค. 2566,คณิต,ใบงานแบบฝึกหัด ข้อ 2 ใหญ่ ✅,5 ก.ค. 2566
3 ก.ค. 2566,วิทย์,การสร้าง พืช/สัตว์ GMOs ✅,6 ก.ค. 2566 ⏰
04 07 23,English,"Do activities in ACTION book in page 11 , section 6 , 7 , 8 in to note book ✅",05 07 23
04 07 23,English,"Do activities in ACTION book in page 12 , section 1 , 2 in to note book ✅",05 07 23
7 ก.ค. 2566,ไทย,ใบงาน mind map ✅,13 ก.ค. 2566 ⏰
7 ก.ค. 2566,คณิต,แบบฝึกหัด 4.3 ในใบงาน ✅,10 ก.ค. 2566
7 ก.ค. 2566,สังคม,สรุปเนื้อหาเป็น mind map,ก่อนวันที่ 25 ก.ค. (เสร็จก่อนส่งก่อน)
10 ก.ค. 2566,คณิต,ทำแบบฝึกหัด ข้อ 6-7 ✅,12 ก.ค. 2566
11 07 23,English,Do activities Relative Clause in classroom ❓,12 07 23
13 ก.ค. 2566,วิทย์,ทำ Mind map เกี่ยวกับคลื่นจากเรื่องที่ได้ไป,24 ก.ค. 2566